NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
services             pod/cray-dns-unbound-79b56d4645-4xd9z                                 3/3     Running     0               2d10h
services             pod/cray-dns-unbound-79b56d4645-g5xzp                                 3/3     Running     0               2d11h
services             pod/cray-dns-unbound-79b56d4645-ldnvn                                 3/3     Running     0               2d10h
services             pod/cray-dns-unbound-manager-28846342-97jpg                           0/2     Completed   0               5m49s
services             pod/cray-dns-unbound-manager-28846344-spgnt                           0/2     Completed   0               3m49s
services             pod/cray-dns-unbound-manager-28846346-7mnxr                           0/2     Completed   0               109s
services             pod/cray-externaldns-external-dns-688c68fb58-tkg7h                    1/1     Running     5 (2d6h ago)    2d10h
services             pod/cray-fas-77bb4c6b79-mkhgt                                         2/2     Running     1 (2d11h ago)   2d11h
services             pod/cray-fas-bitnami-etcd-0                                           2/2     Running     0               2d10h
services             pod/cray-fas-bitnami-etcd-1                                           2/2     Running     0               2d10h
services             pod/cray-fas-bitnami-etcd-2                                           2/2     Running     0               2d9h
services             pod/cray-fas-bitnami-etcd-snapshotter-28846320-q228d                  0/2     Completed   0               27m
services             pod/cray-hbtd-55fb95cc7b-6srfv                                        2/2     Running     0               2d10h
services             pod/cray-hbtd-55fb95cc7b-g44mc                                        2/2     Running     0               2d9h
services             pod/cray-hbtd-55fb95cc7b-njsqf                                        2/2     Running     0               2d10h
services             pod/cray-hbtd-bitnami-etcd-0                                          2/2     Running     0               2d10h
services             pod/cray-hbtd-bitnami-etcd-1                                          2/2     Running     0               2d10h
services             pod/cray-hbtd-bitnami-etcd-2                                          2/2     Running     0               2d9h
services             pod/cray-hbtd-bitnami-etcd-snapshotter-28846320-w8hkg                 0/2     Completed   0               27m
services             pod/cray-hmnfd-747b78f958-cgwgl                                       2/2     Running     0               2d11h
services             pod/cray-hmnfd-747b78f958-jj27k                                       2/2     Running     0               2d10h
services             pod/cray-hmnfd-747b78f958-n6m76                                       2/2     Running     0               2d10h
services             pod/cray-hmnfd-bitnami-etcd-0                                         2/2     Running     0               2d10h
services             pod/cray-hmnfd-bitnami-etcd-1                                         2/2     Running     0               2d10h
services             pod/cray-hmnfd-bitnami-etcd-2                                         2/2     Running     0               2d9h
services             pod/cray-hmnfd-bitnami-etcd-snapshotter-28846320-cbw8r                0/2     Completed   0               27m
services             pod/cray-hms-hmcollector-ingress-7c5bb55c74-8x8cx                     2/2     Running     0               2d9h
services             pod/cray-hms-hmcollector-ingress-7c5bb55c74-hd9rz                     2/2     Running     0               2d10h
services             pod/cray-hms-hmcollector-ingress-7c5bb55c74-njsf4                     2/2     Running     0               2d10h
services             pod/cray-hms-hmcollector-poll-66cc59bcd-f8lrh                         2/2     Running     0               2d9h
services             pod/cray-hms-rts-5488d9b94-b4p6z                                      3/3     Running     0               2d9h
services             pod/cray-hms-rts-snmp-d9cb7fdc-b9qbq                                  3/3     Running     0               2d9h
services             pod/cray-ims-d7466c6f9-4z9qp                                          2/2     Running     0               2d9h
services             pod/cray-ipxe-aarch64-6d97578788-rr9dm                                2/2     Running     0               2d10h
services             pod/cray-ipxe-x86-64-59d949584d-gvwlv                                 2/2     Running     0               2d10h
services             pod/cray-keycloak-0                                                   2/2     Running     0               2d10h
services             pod/cray-keycloak-1                                                   2/2     Running     2 (2d9h ago)    2d9h
services             pod/cray-keycloak-2                                                   2/2     Running     0               2d10h
